"Καλημέρα, τι κάνεις; Είσαι έτοιμος για τη συνάντηση σήμερα το απόγευμα; ..?",NO_SPAM
"Συγχαρητήρια! Ο αριθμός σου επιλέχθηκε για το μεγάλο έπαθλο των 10.000 ευρώ, μπες στο link. Ref:854",SPAM
"Κέρδισε ένα δωρεάν iPhone 15, απομένουν λίγες θέσεις, συμπλήρωσε τη φόρμα. Ref:658",SPAM
"Πρόλαβες; Μοναδικές προσφορές έως -80% μόνο για σήμερα, αγόρασε τώρα. Ref:132",SPAM
"Κάντε login τώρα για να επιβεβαιώσετε τα στοιχεία του λογαριασμού σας, κίνδυνος αποκλεισμού. Ref:338",SPAM
"Καλημέρα, τι κάνεις; Είσαι έτοιμος για τη συνάντηση σήμερα το απόγευμα; ..!",NO_SPAM
"Όλα καλά φίλε, μην αγχώνεσαι, θα το λύσουμε το θέμα αύριο. .....",NO_SPAM
"Δανεισμός εξπρές χωρίς δικαιολογητικά και εγγυητές, εγκρίσεις σε 10 λεπτά. Ref:384",SPAM
"Καλημέρα, τι κάνεις; Είσαι έτοιμος για τη συνάντηση σήμερα το απόγευμα; ..!",NO_SPAM
"Γεια σου, μπορείς να με πάρεις τηλέφωνο μόλις ελευθερωθείς; ..?",NO_SPAM
"Αποκλειστική προσφορά για εσάς, κάντε κλικ για να εξαργυρώσετε το κουπόνι σας. Ref:444",SPAM
"Πρόλαβες; Μοναδικές προσφορές έως -80% μόνο για σήμερα, αγόρασε τώρα. Ref:199",SPAM
"Γεια σου, μπορείς να με πάρεις τηλέφωνο μόλις ελευθερωθείς; ..?",NO_SPAM
"Όλα καλά φίλε, μην αγχώνεσαι, θα το λύσουμε το θέμα αύριο. .....",NO_SPAM
"Η παραγγελία σας έχει αποσταλεί και θα παραδοθεί σε 1-2 εργάσιμες ημέρες. .....",NO_SPAM
"FREE entry to our weekly competition! Text WIN to 89121 to claim your reward. Ref:949",SPAM
"Η παραγγελία σας έχει αποσταλεί και θα παραδοθεί σε 1-2 εργάσιμες ημέρες. ..?",NO_SPAM
"Όλα καλά φίλε, μην αγχώνεσαι, θα το λύσουμε το θέμα αύριο. ...",NO_SPAM
"Κάντε login τώρα για να επιβεβαιώσετε τα στοιχεία του λογαριασμού σας, κίνδυνος αποκλεισμού. Ref:891",SPAM
"Turn $100 into millions overnight! Guaranteed automated system, claim your prize. Ref:975",SPAM
"Turn $100 into millions overnight! Guaranteed automated system, claim your prize. Ref:489",SPAM
"Get rich quickly! Invest in bitcoin today and see your profit explode. Ref:954",SPAM
"Γεια σου, μπορείς να με πάρεις τηλέφωνο μόλις ελευθερωθείς; ..?",NO_SPAM
"FREE entry to our weekly competition! Text WIN to 89121 to claim your reward. Ref:818",SPAM
"Σας στέλνω τις αλλαγές για το project, παρακαλώ ρίξτε μια ματιά πριν το meeting. ...",NO_SPAM
"Σου έστειλα το email με τις σημειώσεις του μαθήματος, τσέκαρέ το όταν προλάβεις. ..!",NO_SPAM
"Πρόλαβες; Μοναδικές προσφορές έως -80% μόνο για σήμερα, αγόρασε τώρα. Ref:376",SPAM
"Σας στέλνω τις αλλαγές για το project, παρακαλώ ρίξτε μια ματιά πριν το meeting. ..!",NO_SPAM
"Μπορείς να μου στείλεις τον κωδικό του Wi-Fi γιατί τον ξέχασα; ...",NO_SPAM
"ΕΠΕΙΓΟΝ! Κέρδισες ένα δωρεάν bonus στην πλατφόρμα μας. Κάνε κλικ εδώ τώρα! Ref:924",SPAM
"Ναι, συμφωνώ απόλυτα, ας το κανονίσουμε έτσι. ...",NO_SPAM
